,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,Alength,Clength,pair,label
1343,Vanilla Skyr Nonfat Yogurt,Icelandic Style Skyr Blueberry Non-fat Yogurt,0.004182156133828996,0.0048327137546468404,0.0013940520446096654,0.33333333333333337,68.97435897435898,0.0013738408811376293,1.4927509293680297,1,1,"Icelandic Style Skyr Blueberry Non-fat Yogurt, Vanilla Skyr Nonfat Yogurt",Icelandic Style Skyr Blueberry Non-fat Yogurt---Vanilla Skyr Nonfat Yogurt
1342,Icelandic Style Skyr Blueberry Non-fat Yogurt,Vanilla Skyr Nonfat Yogurt,0.0048327137546468404,0.004182156133828996,0.0013940520446096654,0.28846153846153844,68.97435897435898,0.0013738408811376293,1.3995277805686728,1,1,"Icelandic Style Skyr Blueberry Non-fat Yogurt, Vanilla Skyr Nonfat Yogurt",Icelandic Style Skyr Blueberry Non-fat Yogurt---Vanilla Skyr Nonfat Yogurt
943,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.005018587360594796,0.00566914498141264,0.0016728624535315986,0.3333333333333333,58.79781420765027,0.0016444113541825016,1.4914962825278808,1,1,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach",Total 2% Lowfat Greek Strained Yogurt With Blueberry---Total 2% Lowfat Greek Strained Yogurt with Peach
942,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Lowfat Greek Strained Yogurt with Peach,0.00566914498141264,0.005018587360594796,0.0016728624535315986,0.29508196721311475,58.79781420765027,0.0016444113541825016,1.411485259790784,1,1,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% Lowfat Greek Strained Yogurt with Peach",Total 2% Lowfat Greek Strained Yogurt With Blueberry---Total 2% Lowfat Greek Strained Yogurt with Peach
371,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.00566914498141264,0.008271375464684014,0.0027184014869888477,0.4795081967213115,57.972002210351825,0.002671509860283855,1.905368380996985,1,1,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% Lowfat Greek Strained Yogurt With Blueberry---Total 2% with Strawberry Lowfat Greek Strained Yogurt
370,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.008271375464684014,0.00566914498141264,0.0027184014869888477,0.32865168539325845,57.97200221035182,0.002671509860283855,1.4810953321615776,1,1,"Total 2% Lowfat Greek Strained Yogurt With Blueberry, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% Lowfat Greek Strained Yogurt With Blueberry---Total 2% with Strawberry Lowfat Greek Strained Yogurt
534,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Lowfat Greek Strained Yogurt with Peach,0.008271375464684014,0.005018587360594796,0.002300185873605948,0.27808988764044945,55.41198501872659,0.0022586752532441513,1.378262190270927,1,1,"Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% Lowfat Greek Strained Yogurt with Peach---Total 2% with Strawberry Lowfat Greek Strained Yogurt
535,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.005018587360594796,0.008271375464684014,0.002300185873605948,0.4583333333333333,55.41198501872659,0.0022586752532441513,1.8308836145267369,1,1,"Total 2% Lowfat Greek Strained Yogurt with Peach, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% Lowfat Greek Strained Yogurt with Peach---Total 2% with Strawberry Lowfat Greek Strained Yogurt
1238,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.00566914498141264,0.004786245353159851,0.0014637546468401488,0.2581967213114754,53.94556740410633,0.001436620728016473,1.341614122286348,1,1,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% Lowfat Greek Strained Yogurt With Blueberry",Total 2% Greek Strained Yogurt with Cherry 5.3 oz---Total 2% Lowfat Greek Strained Yogurt With Blueberry
1239,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.004786245353159851,0.00566914498141264,0.0014637546468401488,0.30582524271844663,53.94556740410632,0.001436620728016473,1.4323927002365666,1,1,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% Lowfat Greek Strained Yogurt With Blueberry",Total 2% Greek Strained Yogurt with Cherry 5.3 oz---Total 2% Lowfat Greek Strained Yogurt With Blueberry
1662,Total 2% Lowfat Greek Strained Yogurt with Peach,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.005018587360594796,0.004786245353159851,0.001254646840148699,0.25,52.23300970873787,0.0012306266497146253,1.3269516728624535,1,1,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% Lowfat Greek Strained Yogurt with Peach",Total 2% Greek Strained Yogurt with Cherry 5.3 oz---Total 2% Lowfat Greek Strained Yogurt with Peach
1663,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% Lowfat Greek Strained Yogurt with Peach,0.004786245353159851,0.005018587360594796,0.001254646840148699,0.26213592233009714,52.23300970873787,0.0012306266497146253,1.3484616513402468,1,1,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% Lowfat Greek Strained Yogurt with Peach",Total 2% Greek Strained Yogurt with Cherry 5.3 oz---Total 2% Lowfat Greek Strained Yogurt with Peach
1527,Lime Sparkling Water,"Sparkling Water Grapefruit, Sparkling Lemon Water",0.011431226765799257,0.0026719330855018587,0.0013011152416356876,0.11382113821138211,42.59879816189466,0.0012705717686322742,1.1254252498209474,1,2,"Lime Sparkling Water, Sparkling Water Grapefruit, Sparkling Lemon Water","Lime Sparkling Water---Sparkling Water Grapefruit, Sparkling Lemon Water"
1526,"Sparkling Water Grapefruit, Sparkling Lemon Water",Lime Sparkling Water,0.0026719330855018587,0.011431226765799257,0.0013011152416356876,0.4869565217391304,42.598798161894656,0.0012705717686322742,1.9268713376598827,2,1,"Lime Sparkling Water, Sparkling Water Grapefruit, Sparkling Lemon Water","Lime Sparkling Water---Sparkling Water Grapefruit, Sparkling Lemon Water"
1529,Sparkling Lemon Water,"Lime Sparkling Water, Sparkling Water Grapefruit",0.00866635687732342,0.0035780669144981412,0.0013011152416356876,0.15013404825737264,41.95954179868389,0.0012701064368237033,1.1724459969744234,1,2,"Lime Sparkling Water, Sparkling Water Grapefruit, Sparkling Lemon Water","Lime Sparkling Water, Sparkling Water Grapefruit---Sparkling Lemon Water"
1524,"Lime Sparkling Water, Sparkling Water Grapefruit",Sparkling Lemon Water,0.0035780669144981412,0.00866635687732342,0.0013011152416356876,0.3636363636363636,41.95954179868388,0.0012701064368237033,1.5578100106213486,2,1,"Lime Sparkling Water, Sparkling Water Grapefruit, Sparkling Lemon Water","Lime Sparkling Water, Sparkling Water Grapefruit---Sparkling Lemon Water"
2277,Soda,Zero Calorie Cola,0.009781598513011152,0.00262546468401487,0.0010687732342007435,0.10926365795724467,41.61688352637,0.0010430919927516204,1.1197191449814126,1,1,"Soda, Zero Calorie Cola",Soda---Zero Calorie Cola
2276,Zero Calorie Cola,Soda,0.00262546468401487,0.009781598513011152,0.0010687732342007435,0.4070796460176991,41.61688352637,0.0010430919927516204,1.6700698413138766,1,1,"Soda, Zero Calorie Cola",Soda---Zero Calorie Cola
1402,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,0.008271375464684014,0.004786245353159851,0.001370817843866171,0.1657303370786517,34.626377222646454,0.0013312290114840869,1.1929161503510946,1,1,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% Greek Strained Yogurt with Cherry 5.3 oz---Total 2% with Strawberry Lowfat Greek Strained Yogurt
1403,Total 2% Greek Strained Yogurt with Cherry 5.3 oz,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.004786245353159851,0.008271375464684014,0.001370817843866171,0.2864077669902913,34.626377222646454,0.0013312290114840869,1.3897693649950689,1,1,"Total 2% Greek Strained Yogurt with Cherry 5.3 oz, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% Greek Strained Yogurt with Cherry 5.3 oz---Total 2% with Strawberry Lowfat Greek Strained Yogurt
2055,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% Lowfat Greek Strained Yogurt With Blueberry,0.005762081784386617,0.00566914498141264,0.0011152416356877324,0.19354838709677422,34.140666314119514,0.0010825755586572879,1.2329702602230483,1,1,"Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Lowfat Greek Strained Yogurt With Blueberry",Total 2% All Natural Greek Strained Yogurt with Honey---Total 2% Lowfat Greek Strained Yogurt With Blueberry
2054,Total 2% Lowfat Greek Strained Yogurt With Blueberry,Total 2% All Natural Greek Strained Yogurt with Honey,0.00566914498141264,0.005762081784386617,0.0011152416356877324,0.19672131147540983,34.140666314119514,0.0010825755586572879,1.237724755329641,1,1,"Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% Lowfat Greek Strained Yogurt With Blueberry",Total 2% All Natural Greek Strained Yogurt with Honey---Total 2% Lowfat Greek Strained Yogurt With Blueberry
1207,Total 2% All Natural Greek Strained Yogurt with Honey,Total 2% with Strawberry Lowfat Greek Strained Yogurt,0.005762081784386617,0.008271375464684014,0.001486988847583643,0.25806451612903225,31.19971003986952,0.001439328505686765,1.3366777113302084,1,1,"Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% All Natural Greek Strained Yogurt with Honey---Total 2% with Strawberry Lowfat Greek Strained Yogurt
1206,Total 2% with Strawberry Lowfat Greek Strained Yogurt,Total 2% All Natural Greek Strained Yogurt with Honey,0.008271375464684014,0.005762081784386617,0.001486988847583643,0.1797752808988764,31.19971003986952,0.001439328505686765,1.2121530783724601,1,1,"Total 2% All Natural Greek Strained Yogurt with Honey, Total 2% with Strawberry Lowfat Greek Strained Yogurt",Total 2% All Natural Greek Strained Yogurt with Honey---Total 2% with Strawberry Lowfat Greek Strained Yogurt
1525,"Lime Sparkling Water, Sparkling Lemon Water",Sparkling Water Grapefruit,0.0022769516728624534,0.02058550185873606,0.0013011152416356876,0.5714285714285714,27.758787487907124,0.0012542430487417254,2.285300495662949,2,1,"Lime Sparkling Water, Sparkling Lemon Water, Sparkling Water Grapefruit","Lime Sparkling Water, Sparkling Lemon Water---Sparkling Water Grapefruit"
1528,Sparkling Water Grapefruit,"Lime Sparkling Water, Sparkling Lemon Water",0.02058550185873606,0.0022769516728624534,0.0013011152416356876,0.06320541760722347,27.758787487907124,0.0012542430487417254,1.0650393021901732,1,2,"Lime Sparkling Water, Sparkling Lemon Water, Sparkling Water Grapefruit","Lime Sparkling Water, Sparkling Lemon Water---Sparkling Water Grapefruit"
550,Lime Sparkling Water,Sparkling Lemon Water,0.011431226765799257,0.00866635687732342,0.0022769516728624534,0.1991869918699187,22.983936005579892,0.0021778845821644253,1.2379090162851698,1,1,"Lime Sparkling Water, Sparkling Lemon Water",Lime Sparkling Water---Sparkling Lemon Water
551,Sparkling Lemon Water,Lime Sparkling Water,0.00866635687732342,0.011431226765799257,0.0022769516728624534,0.2627345844504021,22.983936005579892,0.0021778845821644253,1.3408587360594795,1,1,"Lime Sparkling Water, Sparkling Lemon Water",Lime Sparkling Water---Sparkling Lemon Water
2344,Organic Whole Strawberries,Frozen Organic Wild Blueberries,0.0072258364312267655,0.006923791821561338,0.0010687732342007435,0.14790996784565918,21.362567168044198,0.0010187430470142756,1.1654592480886583,1,1,"Frozen Organic Wild Blueberries, Organic Whole Strawberries",Frozen Organic Wild Blueberries---Organic Whole Strawberries
2345,Frozen Organic Wild Blueberries,Organic Whole Strawberries,0.006923791821561338,0.0072258364312267655,0.0010687732342007435,0.15436241610738255,21.362567168044198,0.0010187430470142756,1.173994844220216,1,1,"Frozen Organic Wild Blueberries, Organic Whole Strawberries",Frozen Organic Wild Blueberries---Organic Whole Strawberries
1268,Raspberries,Blackberries,0.01370817843866171,0.005018587360594796,0.0014405204460966542,0.10508474576271186,20.939108600125547,0.0013717247550476084,1.1118163512447898,1,1,"Blackberries, Raspberries",Blackberries---Raspberries
1269,Blackberries,Raspberries,0.005018587360594796,0.01370817843866171,0.0014405204460966542,0.287037037037037,20.939108600125543,0.0013717247550476084,1.3833703471249938,1,1,"Blackberries, Raspberries",Blackberries---Raspberries
995,Sparkling Water Grapefruit,Sparkling Water Berry,0.02058550185873606,0.004065985130111524,0.0016263940520446097,0.07900677200902935,19.43115124153499,0.0015426937075911056,1.0813695308513742,1,1,"Sparkling Water Berry, Sparkling Water Grapefruit",Sparkling Water Berry---Sparkling Water Grapefruit
994,Sparkling Water Berry,Sparkling Water Grapefruit,0.004065985130111524,0.02058550185873606,0.0016263940520446097,0.4,19.431151241534987,0.0015426937075911056,1.6323574969021066,1,1,"Sparkling Water Berry, Sparkling Water Grapefruit",Sparkling Water Berry---Sparkling Water Grapefruit
1132,Sparkling Water Grapefruit,Peach Pear Flavored Sparkling Water,0.02058550185873606,0.004391263940520446,0.001533457249070632,0.0744920993227991,16.963703464832136,0.0014430608770608477,1.0757430977423157,1,1,"Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit",Peach Pear Flavored Sparkling Water---Sparkling Water Grapefruit
1133,Peach Pear Flavored Sparkling Water,Sparkling Water Grapefruit,0.004391263940520446,0.02058550185873606,0.001533457249070632,0.34920634920634924,16.963703464832133,0.0014430608770608477,1.5049539849487716,1,1,"Peach Pear Flavored Sparkling Water, Sparkling Water Grapefruit",Peach Pear Flavored Sparkling Water---Sparkling Water Grapefruit
2365,Organic Red Bell Pepper,Organic Bell Pepper,0.013289962825278811,0.004646840148698885,0.001045539033457249,0.07867132867132866,16.930069930069926,0.0009837827006260278,1.0803453651516968,1,1,"Organic Bell Pepper, Organic Red Bell Pepper",Organic Bell Pepper---Organic Red Bell Pepper
2364,Organic Bell Pepper,Organic Red Bell Pepper,0.004646840148698885,0.013289962825278811,0.001045539033457249,0.22499999999999998,16.930069930069926,0.0009837827006260278,1.2731742415157692,1,1,"Organic Bell Pepper, Organic Red Bell Pepper",Organic Bell Pepper---Organic Red Bell Pepper
1948,Pure Sparkling Water,Sparkling Lemon Water,0.008108736059479553,0.00866635687732342,0.0011617100371747212,0.14326647564469916,16.531338101200674,0.0010914368366592502,1.1571084998321544,1,1,"Pure Sparkling Water, Sparkling Lemon Water",Pure Sparkling Water---Sparkling Lemon Water
1949,Sparkling Lemon Water,Pure Sparkling Water,0.00866635687732342,0.008108736059479553,0.0011617100371747212,0.13404825737265416,16.531338101200674,0.0010914368366592502,1.1454348032501984,1,1,"Pure Sparkling Water, Sparkling Lemon Water",Pure Sparkling Water---Sparkling Lemon Water
186,Lime Sparkling Water,Sparkling Water Grapefruit,0.011431226765799257,0.02058550185873606,0.0035780669144981412,0.3130081300813008,15.205270788599533,0.003342749374663147,1.4256566067618397,1,1,"Lime Sparkling Water, Sparkling Water Grapefruit",Lime Sparkling Water---Sparkling Water Grapefruit
187,Sparkling Water Grapefruit,Lime Sparkling Water,0.02058550185873606,0.011431226765799257,0.0035780669144981412,0.17381489841986456,15.205270788599533,0.003342749374663147,1.196546356674183,1,1,"Lime Sparkling Water, Sparkling Water Grapefruit",Lime Sparkling Water---Sparkling Water Grapefruit
382,Sparkling Water Grapefruit,Sparkling Lemon Water,0.02058550185873606,0.00866635687732342,0.0026719330855018587,0.12979683972911962,14.977093785365438,0.0024935317798952476,1.1391979348984325,1,1,"Sparkling Lemon Water, Sparkling Water Grapefruit",Sparkling Lemon Water---Sparkling Water Grapefruit
383,Sparkling Lemon Water,Sparkling Water Grapefruit,0.00866635687732342,0.02058550185873606,0.0026719330855018587,0.30831099195710454,14.977093785365438,0.0024935317798952476,1.4159752240569434,1,1,"Sparkling Lemon Water, Sparkling Water Grapefruit",Sparkling Lemon Water---Sparkling Water Grapefruit
1666,Lime Sparkling Water,Pure Sparkling Water,0.011431226765799257,0.008108736059479553,0.001254646840148699,0.10975609756097562,13.535537074568456,0.0011619540394687748,1.1141792279879819,1,1,"Lime Sparkling Water, Pure Sparkling Water",Lime Sparkling Water---Pure Sparkling Water
1667,Pure Sparkling Water,Lime Sparkling Water,0.008108736059479553,0.011431226765799257,0.001254646840148699,0.1547277936962751,13.535537074568456,0.0011619540394687748,1.169527124944868,1,1,"Lime Sparkling Water, Pure Sparkling Water",Lime Sparkling Water---Pure Sparkling Water
610,Sparkling Water Grapefruit,Pure Sparkling Water,0.02058550185873606,0.008108736059479553,0.0021607806691449813,0.10496613995485327,12.944821385836347,0.001993858267920565,1.1082164689171514,1,1,"Pure Sparkling Water, Sparkling Water Grapefruit",Pure Sparkling Water---Sparkling Water Grapefruit
611,Pure Sparkling Water,Sparkling Water Grapefruit,0.008108736059479553,0.02058550185873606,0.0021607806691449813,0.2664756446991404,12.944821385836347,0.001993858267920565,1.335217421294145,1,1,"Pure Sparkling Water, Sparkling Water Grapefruit",Pure Sparkling Water---Sparkling Water Grapefruit
1822,Hass Avocados,Clementines,0.013313197026022305,0.007736988847583643,0.0012081784386617101,0.09075043630017453,11.729425760839375,0.001105174381745692,1.0912988587146537,1,1,"Clementines, Hass Avocados",Clementines---Hass Avocados
1823,Clementines,Hass Avocados,0.007736988847583643,0.013313197026022305,0.0012081784386617101,0.15615615615615616,11.729425760839375,0.001105174381745692,1.1692765316382014,1,1,"Clementines, Hass Avocados",Clementines---Hass Avocados
1361,"Bag of Organic Bananas, Organic Garlic",Organic Yellow Onion,0.005274163568773234,0.02646375464684015,0.0013940520446096654,0.2643171806167401,9.987894164832742,0.0012544778739583477,1.3233097466776484,2,1,"Bag of Organic Bananas, Organic Garlic, Organic Yellow Onion","Bag of Organic Bananas, Organic Garlic---Organic Yellow Onion"
1364,Organic Yellow Onion,"Bag of Organic Bananas, Organic Garlic",0.02646375464684015,0.005274163568773234,0.0013940520446096654,0.05267778753292361,9.98789416483274,0.0012544778739583477,1.0500395993467724,1,2,"Bag of Organic Bananas, Organic Garlic, Organic Yellow Onion","Bag of Organic Bananas, Organic Garlic---Organic Yellow Onion"
2162,"Bag of Organic Bananas, Organic Strawberries","Organic Hass Avocado, Organic Raspberries",0.016101301115241634,0.00724907063197026,0.0011152416356877324,0.06926406926406928,9.554889554889558,0.0009985221666367243,1.0666300682977436,2,2,"Bag of Organic Bananas, Organic Strawberries, Organic Hass Avocado, Organic Raspberries","Bag of Organic Bananas, Organic Strawberries---Organic Hass Avocado, Organic Raspberries"
2159,"Organic Hass Avocado, Organic Raspberries","Bag of Organic Bananas, Organic Strawberries",0.00724907063197026,0.016101301115241634,0.0011152416356877324,0.15384615384615385,9.554889554889556,0.0009985221666367243,1.1627893714092599,2,2,"Bag of Organic Bananas, Organic Strawberries, Organic Hass Avocado, Organic Raspberries","Bag of Organic Bananas, Organic Strawberries---Organic Hass Avocado, Organic Raspberries"
1260,Raspberries,Blueberries,0.01370817843866171,0.011198884758364312,0.0014637546468401488,0.10677966101694915,9.534847738940854,0.0013102383362584818,1.1070069411623626,1,1,"Blueberries, Raspberries",Blueberries---Raspberries
1261,Blueberries,Raspberries,0.011198884758364312,0.01370817843866171,0.0014637546468401488,0.13070539419087138,9.534847738940854,0.0013102383362584818,1.134588682559821,1,1,"Blueberries, Raspberries",Blueberries---Raspberries
2160,"Organic Hass Avocado, Organic Strawberries","Bag of Organic Bananas, Organic Raspberries",0.01061802973977695,0.011617100371747211,0.0011152416356877324,0.10503282275711161,9.041225382932168,0.0009918909184505466,1.104378936748439,2,2,"Bag of Organic Bananas, Organic Raspberries, Organic Hass Avocado, Organic Strawberries","Bag of Organic Bananas, Organic Raspberries---Organic Hass Avocado, Organic Strawberries"
2161,"Bag of Organic Bananas, Organic Raspberries","Organic Hass Avocado, Organic Strawberries",0.011617100371747211,0.01061802973977695,0.0011152416356877324,0.09600000000000002,9.041225382932168,0.0009918909184505466,1.0944490821462645,2,2,"Bag of Organic Bananas, Organic Raspberries, Organic Hass Avocado, Organic Strawberries","Bag of Organic Bananas, Organic Raspberries---Organic Hass Avocado, Organic Strawberries"
1360,"Bag of Organic Bananas, Organic Yellow Onion",Organic Garlic,0.006017657992565055,0.02562732342007435,0.0013940520446096654,0.23166023166023167,9.039579665146302,0.0012398355770028052,1.2681533830864358,2,1,"Bag of Organic Bananas, Organic Yellow Onion, Organic Garlic","Bag of Organic Bananas, Organic Yellow Onion---Organic Garlic"
1365,Organic Garlic,"Bag of Organic Bananas, Organic Yellow Onion",0.02562732342007435,0.006017657992565055,0.0013940520446096654,0.054397098821396185,9.0395796651463,0.0012398355770028052,1.0511625342609787,1,2,"Bag of Organic Bananas, Organic Yellow Onion, Organic Garlic","Bag of Organic Bananas, Organic Yellow Onion---Organic Garlic"
2340,Organic Romaine Lettuce,Organic Small Bunch Celery,0.008224907063197026,0.015032527881040892,0.0010687732342007435,0.12994350282485875,8.644155118364639,0.0009451320894542641,1.1320730036691933,1,1,"Organic Romaine Lettuce, Organic Small Bunch Celery",Organic Romaine Lettuce---Organic Small Bunch Celery
2341,Organic Small Bunch Celery,Organic Romaine Lettuce,0.015032527881040892,0.008224907063197026,0.0010687732342007435,0.07109737248840804,8.644155118364639,0.0009451320894542641,1.0676846674377896,1,1,"Organic Romaine Lettuce, Organic Small Bunch Celery",Organic Romaine Lettuce---Organic Small Bunch Celery
1563,Whole Milk Plain Yogurt,Organic Whole Milk,0.00383364312267658,0.0399860594795539,0.0013011152416356876,0.33939393939393936,8.487806595883296,0.0011478229597089592,1.4532321117970055,1,1,"Organic Whole Milk, Whole Milk Plain Yogurt",Organic Whole Milk---Whole Milk Plain Yogurt
1562,Organic Whole Milk,Whole Milk Plain Yogurt,0.0399860594795539,0.00383364312267658,0.0013011152416356876,0.03253922138291691,8.487806595883294,0.0011478229597089592,1.0296710511626868,1,1,"Organic Whole Milk, Whole Milk Plain Yogurt",Organic Whole Milk---Whole Milk Plain Yogurt
